report_year,vehicles_type,states_name,register_amount,age_used,short_name
2017,HEAVY RIGID TRUCKS,Victoria,81460,16.7,VIC
2017,ARTICULATED TRUCKS,Victoria,27472,12.3,VIC
2017,NON-FREIGHT CARRYING VEHICLES,Victoria,6609,16.3,VIC
2017,BUSES,Victoria,20626,12,VIC
2017,MOTOR CYCLES,Victoria,189217,10.1,VIC
2018,PASSENGER VEHICLES,Victoria,3838133,9.73,VIC
2018,CAMPERVANS,Victoria,14210,16.22,VIC
2018,LIGHT COMMERCIAL VEHICLES,Victoria,703290,10.7,VIC
2018,LIGHT RIGID TRUCKS,Victoria,35646,11.11,VIC
2018,HEAVY RIGID TRUCKS,Victoria,83233,16.58,VIC
2018,ARTICULATED TRUCKS,Victoria,28456,12.37,VIC
2018,NON-FREIGHT CARRYING VEHICLES,Victoria,6873,16.08,VIC
2018,BUSES,Victoria,21063,12.04,VIC
2018,MOTOR CYCLES,Victoria,192128,10.32,VIC
2019,PASSENGER VEHICLES,Victoria,3907572,9.8,VIC
2019,CAMPERVANS,Victoria,14783,16,VIC
2019,LIGHT COMMERCIAL VEHICLES,Victoria,731084,10.6,VIC
2019,LIGHT RIGID TRUCKS,Victoria,37826,10.9,VIC
2019,HEAVY RIGID TRUCKS,Victoria,86103,16.4,VIC
2019,ARTICULATED TRUCKS,Victoria,29192,12.3,VIC
2019,NON-FREIGHT CARRYING VEHICLES,Victoria,7134,15.9,VIC
2019,BUSES,Victoria,21432,12.1,VIC
2019,MOTOR CYCLES,Victoria,195780,10.5,VIC
2020,PASSENGER VEHICLES,Victoria,3963818,9.9,VIC
2020,CAMPERVANS,Victoria,15268,15.8,VIC
2020,LIGHT COMMERCIAL VEHICLES,Victoria,753341,10.6,VIC
2020,LIGHT RIGID TRUCKS,Victoria,41478,10.5,VIC
2020,HEAVY RIGID TRUCKS,Victoria,88175,16.3,VIC
2020,ARTICULATED TRUCKS,Victoria,30010,12.4,VIC
2020,NON-FREIGHT CARRYING VEHICLES,Victoria,7466,15.3,VIC
2020,BUSES,Victoria,21853,12.1,VIC
2020,MOTOR CYCLES,Victoria,198151,10.8,VIC
2021,PASSENGER VEHICLES,Victoria,3970844,10.3,VIC
2021,CAMPERVANS,Victoria,15155,16.4,VIC
2021,LIGHT COMMERCIAL VEHICLES,Victoria,774389,10.9,VIC
2021,LIGHT RIGID TRUCKS,Victoria,43883,10.6,VIC
2021,HEAVY RIGID TRUCKS,Victoria,89747,16.4,VIC
2021,ARTICULATED TRUCKS,Victoria,31254,12.5,VIC
2021,NON-FREIGHT CARRYING VEHICLES,Victoria,7734,15.3,VIC
2021,BUSES,Victoria,20849,12.4,VIC
2021,MOTOR CYCLES,Victoria,203317,11.2,VIC
2016,PASSENGER VEHICLES,Queensland,2715055,9.5,QLD
2016,CAMPERVANS,Queensland,14864,14.3,QLD
2016,LIGHT COMMERCIAL VEHICLES,Queensland,775864,10.1,QLD
2016,LIGHT RIGID TRUCKS,Queensland,35909,11.2,QLD
2016,HEAVY RIGID TRUCKS,Queensland,71776,14.5,QLD
2016,ARTICULATED TRUCKS,Queensland,20784,11.1,QLD
2016,NON-FREIGHT CARRYING VEHICLES,Queensland,5556,11.3,QLD
2016,BUSES,Queensland,21455,10.5,QLD
2016,MOTOR CYCLES,Queensland,192942,9.6,QLD
2017,PASSENGER VEHICLES,Queensland,2777113,9.5,QLD
2017,CAMPERVANS,Queensland,15848,14.2,QLD
2017,LIGHT COMMERCIAL VEHICLES,Queensland,797839,10.3,QLD
2017,LIGHT RIGID TRUCKS,Queensland,36637,11.4,QLD
2017,HEAVY RIGID TRUCKS,Queensland,72544,14.7,QLD
2017,ARTICULATED TRUCKS,Queensland,21162,11.4,QLD
2017,NON-FREIGHT CARRYING VEHICLES,Queensland,5405,11.8,QLD
2017,BUSES,Queensland,21361,10.8,QLD
