report_year,vehicles_type,states_name,register_amount,age_used
2017,MOTOR CYCLES,Australian Capital Territory,13179,9.70
2018,PASSENGER VEHICLES,Australian Capital Territory,252771,9.30
2018,CAMPERVANS,Australian Capital Territory,452,18.38
2018,LIGHT COMMERCIAL VEHICLES,Australian Capital Territory,31927,9.39
2018,LIGHT RIGID TRUCKS,Australian Capital Territory,1309,9.93
2018,HEAVY RIGID TRUCKS,Australian Capital Territory,1610,11.50
2018,ARTICULATED TRUCKS,Australian Capital Territory,168,10.32
2018,NON-FREIGHT CARRYING VEHICLES,Australian Capital Territory,140,9.71
2018,BUSES,Australian Capital Territory,1080,10.63
2018,MOTOR CYCLES,Australian Capital Territory,13111,9.83
2019,PASSENGER VEHICLES,Australian Capital Territory,257950,9.40
2019,CAMPERVANS,Australian Capital Territory,473,18.40
2019,LIGHT COMMERCIAL VEHICLES,Australian Capital Territory,32864,9.40
2019,LIGHT RIGID TRUCKS,Australian Capital Territory,1390,9.80
2019,HEAVY RIGID TRUCKS,Australian Capital Territory,1651,11.70
2019,ARTICULATED TRUCKS,Australian Capital Territory,184,10.50
2019,NON-FREIGHT CARRYING VEHICLES,Australian Capital Territory,141,10.00
2019,BUSES,Australian Capital Territory,1136,10.40
2019,MOTOR CYCLES,Australian Capital Territory,13072,10.20
2020,PASSENGER VEHICLES,Australian Capital Territory,259701,9.50
2020,CAMPERVANS,Australian Capital Territory,488,17.60
2020,LIGHT COMMERCIAL VEHICLES,Australian Capital Territory,33500,9.40
2020,LIGHT RIGID TRUCKS,Australian Capital Territory,1384,9.60
2020,HEAVY RIGID TRUCKS,Australian Capital Territory,1583,11.50
2020,ARTICULATED TRUCKS,Australian Capital Territory,192,10.70
2020,NON-FREIGHT CARRYING VEHICLES,Australian Capital Territory,141,9.40
2020,BUSES,Australian Capital Territory,1127,10.80
2020,MOTORCYCLES,Australian Capital Territory,12932,10.40
2021,PASSENGER VEHICLES,Australian Capital Territory,264753,9.40
2021,CAMPERVANS,Australian Capital Territory,511,18.10
2021,LIGHT COMMERCIAL VEHICLES,Australian Capital Territory,34829,9.40
2021,LIGHT RIGID TRUCKS,Australian Capital Territory,1655,9.30
2021,HEAVY RIGID TRUCKS,Australian Capital Territory,1649,11.40
2021,ARTICULATED TRUCKS,Australian Capital Territory,201,11.30
2021,NON-FREIGHT CARRYING VEHICLES,Australian Capital Territory,146,9.60
2021,BUSES,Australian Capital Territory,1047,10.10
2021,MOTORCYCLES,Australian Capital Territory,13357,10.80
